metric,effect,n,partial_eta_sq,p_value,model_adj_r2,q_value
dialectical_amount,domain,18624,0.4140891624143947,0.0,0.500917455071809,0.0
dialectical_amount,model,18624,0.1315789985486467,0.0,0.500917455071809,0.0
dialectical_amount,domain×model,18624,0.1229228069243871,0.0,0.500917455071809,0.0
dialectical_amount,trace length,18624,0.0326468808362969,4.2744876800822896e-136,0.500917455071809,6.106410971546129e-136
control_amount,domain,18624,0.1446931183747151,0.0,0.3557826255164128,0.0
control_amount,model,18624,0.1027194720349942,0.0,0.3557826255164128,0.0
control_amount,domain×model,18624,0.199150662191327,0.0,0.3557826255164128,0.0
control_amount,trace length,18624,0.0230777787362263,2.56761398665095e-96,0.3557826255164128,3.0207223372364113e-96
dialectical_centroid,domain,18233,0.0810889330400044,0.0,0.2416732230461797,0.0
dialectical_centroid,model,18233,0.0178887803636458,8.357468697394377e-69,0.2416732230461797,9.286076330438195e-69
dialectical_centroid,domain×model,18233,0.0623384161143638,2.2958420151259995e-223,0.2416732230461797,3.8264033585433315e-223
dialectical_centroid,trace length,18233,0.0405074253716944,1.5493530492022048e-165,0.2416732230461797,2.3836200756957e-165
control_centroid,domain,18331,0.0285814260462184,2.5544461599673875e-110,0.1912720947252566,3.193057699959234e-110
control_centroid,model,18331,0.0966992286560312,0.0,0.1912720947252566,0.0
control_centroid,domain×model,18331,0.0861215696487767,0.0,0.1912720947252566,0.0
control_centroid,trace length,18331,0.0001793100951446,0.0701994095674047,0.1912720947252566,0.0701994095674047
coupling_excess,domain,18624,0.1745340307330983,0.0,0.2628830534134632,0.0
coupling_excess,model,18624,0.0099297283330445,3.791786699119487e-38,0.2628830534134632,3.991354420125775e-38
coupling_excess,domain×model,18624,0.1173325193551186,0.0,0.2628830534134632,0.0
coupling_excess,trace length,18624,0.0281290836415676,2.8630527104506285e-117,0.2628830534134632,3.817403613934171e-117
